character,G_x,G_y,M,Euclid
開,253,230,44716,20.223748416156685
階,237,243,41438,14.7648230602334
塊,264,260,41273,17.204650534085253
楷,256,251,41594,6.082762530298219
解,243,244,44423,9.219544457292887
潰,265,253,40566,15.297058540778355
壊,257,254,42053,8.06225774829855
懐,246,251,45611,4.123105625617661
諧,254,255,42590,6.4031242374328485
貝,256,234,31470,17.08800749063506
外,243,236,26811,15.652475842498529
劾,263,252,35527,13.152946437965905
害,248,246,36916,4.47213595499958
崖,251,268,40401,18.027756377319946
涯,250,249,37302,1.0
街,247,248,36086,3.605551275463989
慨,250,244,47893,6.0
蓋,250,273,41356,23.0
該,251,257,37851,7.0710678118654755
概,253,242,47764,8.54400374531753
骸,235,248,44255,15.132745950421556
垣,254,252,35372,4.47213595499958
柿,255,244,36874,7.810249675906654
各,250,261,31136,11.0
角,275,249,34984,25.019992006393608
拡,247,267,35684,17.26267650163207
革,249,240,35768,10.04987562112089
格,246,254,39006,5.656854249492381
核,256,250,36393,6.0
殻,242,250,39752,8.0
郭,251,239,40376,11.045361017187261
覚,253,251,41168,3.1622776601683795
較,235,249,41691,15.033296378372908
隔,248,240,44736,10.198039027185569
閣,253,235,46642,15.297058540778355
確,256,252,44461,6.324555320336759
獲,259,252,46689,9.219544457292887
嚇,259,253,45868,9.486832980505138
穫,255,249,48875,5.0990195135927845
学,248,233,33449,17.11724276862369
岳,251,265,31923,15.033296378372908
楽,250,254,37027,4.0
額,253,245,45525,5.830951894845301
顎,254,229,45373,21.37755832643195
掛,242,249,39511,8.06225774829855
潟,270,251,38301,20.024984394500787
括,248,258,36116,8.246211251235321
活,255,255,31486,7.0710678118654755
喝,271,231,40758,28.319604517012593
渇,274,237,39207,27.294688127912362
割,258,251,41549,8.06225774829855
葛,258,245,40051,9.433981132056603
滑,262,236,40057,18.439088914585774
褐,272,243,42335,23.08679276123039
轄,244,246,46183,7.211102550927978
且,248,264,30293,14.142135623730951
株,243,250,38069,7.0
釜,254,270,36895,20.396078054371138
鎌,255,255,50368,7.0710678118654755
刈,291,258,28407,41.773197148410844
干,248,206,20866,44.04543109109048
刊,283,245,28787,33.37663853655727
甘,246,245,29143,6.4031242374328485
汗,245,224,23893,26.476404589747453
缶,245,267,32294,17.72004514666935
完,256,255,31965,7.810249675906654
肝,235,226,34078,28.30194339616981
官,247,246,35498,5.0
冠,262,250,38711,12.0
巻,250,259,37667,9.0
看,249,249,38719,1.4142135623730951
陥,246,256,39607,7.211102550927978
乾,238,252,38347,12.165525060596439
勘,252,254,43479,4.47213595499958
患,245,257,37382,8.602325267042627
貫,249,232,41042,18.027756377319946
寒,249,242,38344,8.06225774829855
喚,252,255,39068,5.385164807134504
堪,266,259,40523,18.35755975068582
換,248,260,42593,10.198039027185569
敢,241,247,39730,9.486832980505138
棺,253,246,40359,5.0
款,233,254,37637,17.46424919657298
間,252,231,42967,19.1049731745428
閑,254,227,43208,23.345235059857504
勧,250,257,42981,7.0
寛,255,250,41286,5.0
幹,238,240,36811,15.620499351813308
感,255,262,39212,13.0
漢,262,253,39509,12.36931687685298
慣,256,241,47046,10.816653826391969
管,247,244,39647,6.708203932499369
関,253,232,43987,18.24828759089466
歓,230,253,41188,20.223748416156685
監,235,266,41298,21.93171219946131
緩,248,258,45728,8.246211251235321
憾,257,250,43698,7.0
還,256,246,44141,7.211102550927978
館,251,254,44222,4.123105625617661
環,256,232,42991,18.973665961010276
簡,254,241,42889,9.848857801796104
観,246,256,48808,7.211102550927978
韓,250,246,45513,4.0
艦,242,267,50754,18.788294228055936
鑑,246,263,48453,13.601470508735444
丸,255,273,27105,23.53720459187964
含,255,259,30820,10.295630140987
岸,252,241,32171,9.219544457292887
岩,254,257,32897,8.06225774829855
玩,247,246,32068,5.0
眼,228,239,41554,24.596747752497688
頑,268,238,39306,21.633307652783937
顔,261,250,44200,11.0
願,254,239,47280,11.704699910719626
企,248,286,29316,36.05551275463989
伎,250,258,32499,8.0
危,254,270,34376,20.396078054371138
机,242,254,33193,8.94427190999916
気,247,251,33286,3.1622776601683795
岐,239,262,34355,16.278820596099706
希,256,239,33460,12.529964086141668
忌,248,258,31012,8.246211251235321
汽,257,233,25788,18.384776310850235
奇,257,245,31938,8.602325267042627
祈,243,244,31392,9.219544457292887
季,252,237,34737,13.152946437965905
紀,237,262,36254,17.69180601295413
軌,237,252,40152,13.152946437965905
既,245,241,41408,10.295630140987
記,241,262,35366,15.0
起,245,269,36131,19.6468827043885
飢,242,257,38345,10.63014581273465
鬼,261,268,38565,21.095023109728988
帰,257,230,38278,21.18962010041709
基,250,270,39744,20.0
寄,251,237,37790,13.038404810405298
規,258,245,41560,9.433981132056603
亀,243,267,44630,18.384776310850235
喜,250,256,39081,6.0
幾,254,258,41836,8.94427190999916
揮,257,238,44332,13.892443989449804
期,266,245,40742,16.76305461424021
棋,255,244,40495,7.810249675906654
貴,252,251,38555,2.23606797749979
棄,247,251,41581,3.1622776601683795
毀,242,251,41536,8.06225774829855
旗,254,253,40366,5.0
器,251,247,42833,3.1622776601683795
畿,251,263,45109,13.038404810405298
輝,255,232,46065,18.681541692269406
機,263,254,47429,13.601470508735444
騎,233,249,46176,17.029386365926403
技,244,261,35259,12.529964086141668
宜,247,268,35278,18.24828759089466
偽,270,258,38894,21.540659228538015
欺,236,245,37682,14.866068747318506
義,253,261,44714,11.40175425099138
疑,244,253,41368,6.708203932499369
儀,264,258,46541,16.1245154965971
戯,246,261,44992,11.704699910719626
擬,251,252,46190,2.23606797749979
犠,259,257,47879,11.40175425099138
議,259,263,47642,15.811388300841896
菊,258,241,38216,12.041594578792296
吉,248,254,28187,4.47213595499958
喫,253,239,38348,11.40175425099138
詰,246,261,37364,11.704699910719626
却,259,243,34546,11.40175425099138
客,247,252,37122,3.605551275463989
脚,250,244,43984,6.0
逆,248,258,35623,8.246211251235321
虐,258,258,37991,11.313708498984761
九,261,274,23680,26.40075756488817
久,250,266,20747,16.0
及,254,245,28132,6.4031242374328485
弓,265,222,23733,31.76476034853718
丘,242,289,25241,39.81205847478876
旧,252,245,31818,5.385164807134504
休,244,246,31085,7.211102550927978
吸,241,235,34483,17.4928556845359
朽,247,243,30726,7.615773105863909
臼,251,265,27442,15.033296378372908
求,249,251,31100,1.4142135623730951
究,255,247,33438,5.830951894845301
泣,248,273,28076,23.08679276123039
急,249,269,35499,19.026297590440446
級,236,256,41162,15.231546211727817
糾,237,255,36060,13.92838827718412
宮,244,248,35571,6.324555320336759
救,242,253,37337,8.54400374531753
球,256,248,36328,6.324555320336759
給,234,265,39337,21.93171219946131
嗅,254,251,39812,4.123105625617661
窮,248,250,42966,2.0
牛,241,235,24132,17.4928556845359
去,251,274,28558,24.020824298928627
巨,217,245,31215,33.37663853655727
居,257,241,35315,11.40175425099138
拒,244,258,36737,10.0
拠,241,257,39614,11.40175425099138
挙,250,242,37479,8.0
虚,251,270,39221,20.024984394500787
許,232,243,34144,19.313207915827967
距,235,242,40439,17.0
魚,246,261,36924,11.704699910719626
御,258,243,39638,10.63014581273465
漁,255,259,38966,10.295630140987
凶,257,268,29067,19.313207915827967
共,252,252,29668,2.8284271247461903
叫,249,243,28205,7.0710678118654755
狂,243,256,31742,9.219544457292887
京,252,246,28888,4.47213595499958
享,251,240,34341,10.04987562112089
供,254,246,34200,5.656854249492381
協,265,263,39580,19.849433241279208
況,256,248,31778,6.324555320336759
峡,243,250,35987,7.0
挟,245,255,37787,7.0710678118654755
狭,247,253,37673,4.242640687119285
恐,251,247,34287,3.1622776601683795
恭,252,251,38366,2.23606797749979
胸,260,258,43798,12.806248474865697
脅,261,252,36508,11.180339887498949
強,250,266,39659,16.0
教,246,250,39090,4.0
郷,256,232,43236,18.973665961010276
境,263,253,38774,13.341664064126334
橋,258,251,45539,8.06225774829855
矯,260,252,44803,10.198039027185569
鏡,251,260,44442,10.04987562112089
競,251,257,44907,7.0710678118654755
響,249,240,49855,10.04987562112089
驚,241,239,44320,14.212670403551895
仰,263,238,32420,17.69180601295413
暁,242,251,40440,8.06225774829855
業,252,243,40745,7.280109889280518
凝,262,252,40673,12.165525060596439
曲,250,267,37362,17.0
局,269,237,38734,23.021728866442675
極,250,251,43679,1.0
玉,256,265,26667,16.15549442140351
巾,252,241,24754,9.219544457292887
斤,245,235,22155,15.811388300841896
均,272,250,29928,22.0
近,241,265,31934,17.4928556845359
金,253,284,34195,34.132096331752024
菌,249,252,42622,2.23606797749979
勤,249,254,42614,4.123105625617661
琴,255,224,36615,26.476404589747453
筋,250,251,38186,1.0
僅,260,258,41453,12.806248474865697
禁,246,245,37822,6.4031242374328485
緊,238,231,39010,22.47220505424423
錦,261,251,43237,11.045361017187261
謹,253,262,45046,12.36931687685298
襟,261,249,40789,11.045361017187261
吟,243,235,28191,16.55294535724685
銀,243,254,43607,8.06225774829855
区,222,247,30568,28.160255680657446
句,280,246,27216,30.265491900843113
苦,249,247,33089,3.1622776601683795
駆,231,242,44432,20.615528128088304
具,253,241,34553,9.486832980505138
惧,247,242,41844,8.54400374531753
愚,256,248,42402,6.324555320336759
空,249,266,33188,16.0312195418814
偶,275,247,43394,25.179356624028344
遇,262,249,46218,12.041594578792296
隅,251,234,47032,16.0312195418814
串,248,238,33390,12.165525060596439
屈,268,248,37026,18.110770276274835
掘,264,256,44269,15.231546211727817
窟,254,250,41190,4.0
熊,242,252,40310,8.246211251235321
繰,243,253,45820,7.615773105863909
君,247,233,35724,17.26267650163207
訓,261,247,37977,11.40175425099138
勲,243,248,44039,7.280109889280518
薫,250,256,46074,6.0
軍,247,226,40195,24.186773244895647
郡,254,224,41593,26.30589287593181
群,239,242,40632,13.601470508735444
兄,262,246,28386,12.649110640673518
刑,271,245,35709,21.587033144922902
形,245,240,32652,11.180339887498949
系,254,253,29985,5.0
径,259,255,36015,10.295630140987
茎,252,263,37683,13.152946437965905
係,261,250,35594,11.0
型,253,255,37375,5.830951894845301
契,248,247,38151,3.605551275463989
計,228,251,30735,22.02271554554524
恵,247,257,38385,7.615773105863909
啓,247,243,36870,7.615773105863909
掲,266,247,43916,16.278820596099706
渓,258,254,33763,8.94427190999916
経,242,259,39359,12.041594578792296
蛍,250,261,37879,11.0
敬,241,249,40730,9.055385138137417
景,251,235,37523,15.033296378372908
軽,238,251,43500,12.041594578792296
傾,267,242,40246,18.788294228055936
携,262,251,43899,12.041594578792296
継,245,258,45029,9.433981132056603
詣,258,257,41125,10.63014581273465
慶,250,250,46851,0.0
憬,254,238,44674,12.649110640673518
稽,261,252,45249,11.180339887498949
憩,252,256,41246,6.324555320336759
警,242,235,44650,17.0
鶏,263,255,45923,13.92838827718412
芸,249,253,33395,3.1622776601683795
迎,252,259,35813,9.219544457292887
鯨,241,254,44292,9.848857801796104
隙,237,246,40979,13.601470508735444
劇,263,254,45706,13.601470508735444
撃,243,232,43423,19.313207915827967
激,252,254,40994,4.47213595499958
桁,241,247,35091,9.486832980505138
欠,249,256,22512,6.082762530298219
穴,252,242,22946,8.246211251235321
血,246,290,32842,40.19950248448356
決,253,258,31445,8.54400374531753
結,242,260,38956,12.806248474865697
傑,257,244,40867,9.219544457292887
潔,268,244,39212,18.973665961010276
月,290,231,27148,44.28317965096906
犬,261,257,24741,13.038404810405298
件,243,238,30538,13.892443989449804
見,256,246,33559,7.211102550927978
券,249,253,36713,3.1622776601683795
肩,263,239,39121,17.029386365926403
建,257,258,42563,10.63014581273465
研,249,224,35558,26.019223662515376
県,243,240,34520,12.206555615733702
倹,257,254,38032,8.06225774829855
兼,256,250,41684,6.0
剣,269,253,38957,19.235384061671343
拳,248,248,39249,2.8284271247461903
軒,230,236,36886,24.413111231467404
健,258,255,42837,9.433981132056603
険,234,245,40800,16.76305461424021
圏,248,241,51429,9.219544457292887
堅,239,247,39401,11.40175425099138
検,253,252,40295,3.605551275463989
嫌,260,251,47356,10.04987562112089
献,231,252,43335,19.1049731745428
絹,263,252,44817,13.152946437965905
遣,254,262,42640,12.649110640673518
権,253,252,43927,3.605551275463989
憲,249,257,42534,7.0710678118654755
賢,236,233,41537,22.02271554554524
謙,254,253,48446,5.0
鍵,252,261,45706,11.180339887498949
繭,252,257,47027,7.280109889280518
顕,251,238,47053,12.041594578792296
験,238,251,46441,12.041594578792296
懸,245,250,43706,5.0
元,267,252,26675,17.11724276862369
幻,258,265,27594,17.0
玄,252,264,27529,14.142135623730951
言,249,245,30216,5.0990195135927845
弦,242,257,34946,10.63014581273465
限,225,231,40256,31.400636936215164
原,257,237,39326,14.7648230602334
現,259,237,40442,15.811388300841896
舷,246,264,41238,14.560219778561036
減,262,259,37574,15.0
源,262,238,37619,16.97056274847714
厳,249,255,42258,5.0990195135927845
己,239,257,25383,13.038404810405298
戸,245,197,26077,53.23532661682466
古,248,265,26377,15.132745950421556
呼,243,229,30256,22.135943621178654
固,245,240,39754,11.180339887498949
股,245,243,39652,8.602325267042627
虎,263,258,35709,15.264337522473747
孤,252,263,40070,13.152946437965905
弧,240,264,39670,17.204650534085253
故,245,261,35247,12.083045973594572
枯,247,254,34231,5.0
個,269,248,41685,19.1049731745428
庫,253,249,42227,3.1622776601683795
湖,279,242,38875,30.083217912982647
雇,253,245,45086,5.830951894845301
誇,244,250,40144,6.0
鼓,236,259,39364,16.64331697709324
錮,262,250,46884,12.0
顧,254,240,49684,10.770329614269007
五,253,266,27738,16.278820596099706
互,249,260,29999,10.04987562112089
午,241,230,22578,21.93171219946131
呉,250,244,31638,6.0
後,248,260,37011,10.198039027185569
娯,252,243,38697,7.280109889280518
悟,248,246,39267,4.47213595499958
碁,246,255,39814,6.4031242374328485
語,247,249,41654,3.1622776601683795
誤,248,247,40090,3.605551275463989
護,252,255,47624,5.385164807134504
口,249,238,19871,12.041594578792296
工,249,266,19992,16.0312195418814
公,249,272,23835,22.02271554554524
勾,274,254,27747,24.331050121192877
