character,G_x,G_y,M,Euclid
絵,239,260,43637,14.866068747318506
開,250,231,49035,19.0
階,239,247,49158,11.40175425099138
塊,262,252,45645,12.165525060596439
楷,255,250,47033,5.0
解,241,244,47248,10.816653826391969
潰,264,247,46832,14.317821063276353
壊,256,248,48224,6.324555320336759
懐,253,248,50268,3.605551275463989
諧,248,257,49003,7.280109889280518
貝,253,236,36377,14.317821063276353
外,240,244,30708,11.661903789690601
劾,253,250,40382,3.0
害,250,247,44807,3.0
崖,253,262,46391,12.36931687685298
涯,258,252,42108,8.246211251235321
街,249,250,40542,1.0
慨,253,242,50071,8.54400374531753
蓋,250,262,50951,12.0
該,237,255,41886,13.92838827718412
概,254,243,50097,8.06225774829855
骸,233,246,47812,17.46424919657298
垣,259,251,40684,9.055385138137417
柿,250,242,40067,8.0
各,244,261,35922,12.529964086141668
角,265,249,39142,15.033296378372908
拡,235,266,39780,21.93171219946131
革,249,236,40412,14.035668847618199
格,244,252,43382,6.324555320336759
核,243,249,40131,7.0710678118654755
殻,243,246,44602,8.06225774829855
郭,250,239,45743,11.0
覚,253,248,44405,3.605551275463989
較,232,245,45010,18.681541692269406
隔,245,237,50425,13.92838827718412
閣,249,236,51217,14.035668847618199
確,255,251,49665,5.0990195135927845
獲,254,248,52702,4.47213595499958
嚇,246,250,53826,4.0
穫,254,244,53035,7.211102550927978
学,250,226,34277,24.0
岳,252,260,37783,10.198039027185569
楽,249,257,39932,7.0710678118654755
額,249,244,52727,6.082762530298219
顎,253,231,49944,19.235384061671343
掛,236,250,42483,14.0
潟,269,250,40031,19.0
括,246,257,41569,8.06225774829855
活,263,254,36188,13.601470508735444
喝,252,236,46978,14.142135623730951
渇,272,243,40905,23.08679276123039
割,252,248,46523,2.8284271247461903
葛,254,247,48280,5.0
滑,267,237,42220,21.400934559032695
褐,266,242,45697,17.88854381999832
轄,248,247,50569,3.605551275463989
且,250,261,36417,11.0
株,242,244,40984,10.0
釜,250,272,43334,22.0
鎌,251,247,52385,3.1622776601683795
刈,280,249,31546,30.01666203960727
干,248,195,24481,55.036351623268054
刊,272,233,32367,27.80287754891569
甘,249,245,32800,5.0990195135927845
汗,249,223,26701,27.018512172212592
缶,242,264,35075,16.1245154965971
完,253,248,36477,3.605551275463989
肝,230,227,37901,30.479501308256342
官,249,245,38573,5.0990195135927845
冠,256,238,42463,13.416407864998739
巻,250,253,43084,3.0
看,252,250,47367,2.0
陥,247,256,46783,6.708203932499369
乾,235,248,42541,15.132745950421556
勘,244,252,48659,6.324555320336759
患,249,252,42656,2.23606797749979
貫,250,233,48126,17.0
寒,250,236,44605,14.0
喚,239,250,48491,11.0
堪,256,248,45993,6.324555320336759
換,247,255,47478,5.830951894845301
敢,239,249,45098,11.045361017187261
棺,259,245,44272,10.295630140987
款,237,248,43054,13.152946437965905
間,250,231,46285,19.0
閑,252,229,47480,21.095023109728988
勧,245,255,46474,7.0710678118654755
寛,254,247,47833,5.0
幹,229,236,40520,25.238858928247925
感,250,250,43700,0.0
漢,265,247,45159,15.297058540778355
慣,256,241,50739,10.816653826391969
管,248,243,44272,7.280109889280518
関,252,232,48794,18.110770276274835
歓,230,253,46499,20.223748416156685
監,232,264,46059,22.80350850198276
緩,247,254,49403,5.0
憾,257,246,48435,8.06225774829855
還,265,252,49412,15.132745950421556
館,252,250,49821,2.0
環,258,228,49226,23.40939982143925
簡,254,244,49190,7.211102550927978
観,248,249,53249,2.23606797749979
韓,248,247,49103,3.605551275463989
艦,244,261,53035,12.529964086141668
鑑,247,260,50709,10.44030650891055
丸,248,267,29392,17.11724276862369
含,251,260,36175,10.04987562112089
岸,249,239,37474,11.045361017187261
岩,248,261,38474,11.180339887498949
玩,246,241,37182,9.848857801796104
眼,234,236,48032,21.2602916254693
頑,261,237,46249,17.029386365926403
顔,253,246,50079,5.0
願,250,238,54347,12.0
企,245,280,32085,30.4138126514911
伎,249,254,37129,4.123105625617661
危,246,257,37249,8.06225774829855
机,241,249,37347,9.055385138137417
気,248,251,37676,2.23606797749979
岐,234,254,42800,16.492422502470642
希,248,244,38337,6.324555320336759
忌,252,251,34831,2.23606797749979
汽,259,228,29593,23.769728648009426
奇,252,243,38105,7.280109889280518
祈,245,245,35000,7.0710678118654755
季,247,234,39746,16.278820596099706
紀,238,258,38856,14.422205101855956
軌,229,254,44484,21.37755832643195
既,250,236,45857,14.0
記,237,248,39213,13.152946437965905
起,245,266,42222,16.76305461424021
飢,238,252,43088,12.165525060596439
鬼,256,259,41789,10.816653826391969
帰,259,239,45430,14.212670403551895
基,250,262,47461,12.0
寄,250,241,43578,9.0
規,256,244,44700,8.48528137423857
亀,248,265,50286,15.132745950421556
喜,250,251,47037,1.0
幾,251,256,45876,6.082762530298219
揮,256,236,49652,15.231546211727817
期,261,242,46502,13.601470508735444
棋,253,245,44940,5.830951894845301
貴,249,247,48647,3.1622776601683795
棄,248,247,49222,3.605551275463989
毀,245,248,44175,5.385164807134504
旗,251,255,47153,5.0990195135927845
器,248,247,48769,3.605551275463989
畿,246,260,50405,10.770329614269007
輝,256,235,50765,16.15549442140351
機,256,249,51386,6.082762530298219
騎,243,247,50509,7.615773105863909
技,241,256,38561,10.816653826391969
宜,249,262,41353,12.041594578792296
偽,259,255,42192,10.295630140987
欺,236,243,43274,15.652475842498529
義,247,256,49635,6.708203932499369
疑,247,249,46101,3.1622776601683795
儀,261,255,52039,12.083045973594572
戯,247,260,47790,10.44030650891055
擬,250,251,50279,1.0
犠,254,248,52528,4.47213595499958
議,248,259,51530,9.219544457292887
菊,253,244,44298,6.708203932499369
吉,249,258,33740,8.06225774829855
喫,241,241,46795,12.727922061357855
詰,245,260,43226,11.180339887498949
却,259,245,39311,10.295630140987
客,246,253,42442,5.0
脚,253,246,50179,5.0
逆,254,264,37859,14.560219778561036
虐,255,259,44149,10.295630140987
九,250,268,25862,18.0
久,238,264,23895,18.439088914585774
及,246,247,33945,5.0
弓,270,227,29505,30.479501308256342
丘,249,281,30269,31.016124838541646
旧,253,248,37338,3.605551275463989
休,243,245,34985,8.602325267042627
吸,229,240,43869,23.259406699226016
朽,248,230,34441,20.09975124224178
臼,251,260,32025,10.04987562112089
求,254,247,32539,5.0
究,247,243,36953,7.615773105863909
泣,255,265,30660,15.811388300841896
急,247,265,37490,15.297058540778355
級,240,253,45738,10.44030650891055
糾,239,255,37546,12.083045973594572
宮,249,249,39781,1.4142135623730951
救,242,250,41972,8.0
球,250,240,39935,10.0
給,236,258,43057,16.1245154965971
嗅,245,247,48489,5.830951894845301
窮,249,252,49390,2.23606797749979
牛,239,229,26444,23.706539182259394
去,250,269,32295,19.0
巨,223,241,36806,28.460498941515414
居,254,241,43771,9.848857801796104
拒,243,248,41462,7.280109889280518
拠,242,258,46101,11.313708498984761
挙,247,241,40280,9.486832980505138
虚,257,270,43516,21.18962010041709
許,227,242,36858,24.351591323771842
距,241,241,44324,12.727922061357855
魚,244,256,39484,8.48528137423857
御,261,246,46708,11.704699910719626
漁,257,255,41563,8.602325267042627
凶,250,267,37040,17.0
共,250,246,33082,4.0
叫,234,244,34679,17.08800749063506
狂,244,252,36488,6.324555320336759
京,248,247,34291,3.605551275463989
享,248,239,38492,11.180339887498949
供,251,249,38375,1.4142135623730951
協,257,258,43871,10.63014581273465
況,259,250,34780,9.0
峡,233,249,44247,17.029386365926403
挟,243,252,40901,7.280109889280518
狭,244,249,41886,6.082762530298219
恐,252,243,37758,7.280109889280518
恭,247,247,40095,4.242640687119285
胸,252,251,49551,2.23606797749979
脅,253,246,44595,5.0
強,250,255,43961,5.0
教,243,249,43252,7.0710678118654755
郷,255,241,50987,10.295630140987
境,262,247,46095,12.36931687685298
橋,257,244,50825,9.219544457292887
矯,255,243,49771,8.602325267042627
鏡,252,252,50416,2.8284271247461903
競,250,248,49250,2.0
響,251,245,52619,5.0990195135927845
驚,247,242,52170,8.54400374531753
仰,260,244,37641,11.661903789690601
暁,238,246,47626,12.649110640673518
業,247,245,46091,5.830951894845301
凝,261,253,44525,11.40175425099138
曲,248,265,45083,15.132745950421556
局,261,238,43128,16.278820596099706
極,255,251,49612,5.0990195135927845
玉,256,255,31822,7.810249675906654
巾,252,241,28796,9.219544457292887
斤,236,233,26070,22.02271554554524
均,266,246,33592,16.492422502470642
近,249,266,33997,16.0312195418814
金,249,272,38528,22.02271554554524
菌,249,250,49620,1.0
勤,243,249,47373,7.0710678118654755
琴,255,210,40384,40.311288741492746
筋,244,254,43947,7.211102550927978
僅,259,254,50538,9.848857801796104
禁,248,242,42237,8.246211251235321
緊,236,230,45058,24.413111231467404
錦,256,250,47248,6.0
謹,252,252,50074,2.8284271247461903
襟,253,238,45564,12.36931687685298
吟,224,232,35284,31.622776601683793
銀,248,250,47514,2.0
区,224,246,36414,26.30589287593181
句,271,244,31827,21.840329667841555
苦,251,245,38849,5.0990195135927845
駆,237,244,49574,14.317821063276353
具,249,242,40783,8.06225774829855
惧,254,242,46200,8.94427190999916
愚,251,240,46129,10.04987562112089
空,248,260,36472,10.198039027185569
偶,269,248,48130,19.1049731745428
遇,267,254,46896,17.46424919657298
隅,250,234,50985,16.0
串,250,241,40171,9.0
屈,260,244,44280,11.661903789690601
掘,257,254,49389,8.06225774829855
窟,254,252,49017,4.47213595499958
熊,247,239,43150,11.40175425099138
繰,245,249,49070,5.0990195135927845
君,250,237,42571,13.0
訓,253,247,42138,4.242640687119285
勲,241,242,47006,12.041594578792296
薫,248,244,55275,6.324555320336759
軍,249,226,46473,24.020824298928627
郡,247,237,48404,13.341664064126334
群,239,240,46613,14.866068747318506
兄,256,242,32603,10.0
刑,258,238,39255,14.422205101855956
形,235,238,36968,19.209372712298546
系,247,247,34319,4.242640687119285
径,251,251,40446,1.4142135623730951
茎,247,260,43708,10.44030650891055
係,250,246,38957,4.0
型,248,252,42450,2.8284271247461903
契,249,243,42350,7.0710678118654755
計,223,249,33682,27.018512172212592
恵,248,250,43251,2.0
啓,250,245,42877,5.0
掲,260,248,46573,10.198039027185569
渓,261,254,37689,11.704699910719626
経,243,253,44030,7.615773105863909
蛍,253,255,41633,5.830951894845301
敬,242,246,45460,8.94427190999916
景,248,236,44576,14.142135623730951
軽,238,248,47478,12.165525060596439
傾,259,245,47264,10.295630140987
携,254,246,48421,5.656854249492381
継,246,257,48788,8.06225774829855
詣,248,257,44761,7.280109889280518
慶,248,247,54999,3.605551275463989
憬,261,236,47512,17.804493814764857
稽,259,246,49419,9.848857801796104
憩,252,248,45697,2.8284271247461903
警,250,245,52263,5.0
鶏,259,254,48539,9.848857801796104
芸,250,249,37979,1.0
迎,260,263,40012,16.401219466856727
鯨,238,252,48109,12.165525060596439
隙,231,246,46653,19.4164878389476
劇,255,257,49506,8.602325267042627
撃,240,238,51210,15.620499351813308
激,250,252,45033,2.0
桁,240,242,37288,12.806248474865697
欠,250,254,26840,4.0
穴,250,238,25058,12.0
