character,G_x,G_y,M,Euclid
塊,260,255,61942,11.180339887498949
楷,248,252,62154,2.8284271247461903
解,246,242,63100,8.94427190999916
潰,262,254,58178,12.649110640673518
壊,259,250,61355,9.0
懐,259,250,63136,9.0
諧,242,256,66538,10.0
貝,246,240,48039,10.770329614269007
外,238,243,40137,13.892443989449804
劾,256,252,53683,6.324555320336759
害,251,253,56169,3.1622776601683795
崖,254,265,56550,15.524174696260024
涯,259,253,56971,9.486832980505138
街,250,252,49980,2.0
慨,254,244,65823,7.211102550927978
蓋,249,261,64285,11.045361017187261
該,239,255,58255,12.083045973594572
概,253,244,66631,6.708203932499369
骸,237,250,63914,13.0
垣,256,254,51902,7.211102550927978
柿,251,242,52327,8.06225774829855
各,239,257,49827,13.038404810405298
角,266,248,52184,16.1245154965971
拡,238,263,53854,17.69180601295413
革,250,236,51905,14.0
格,250,255,59158,5.0
核,245,254,56123,6.4031242374328485
殻,244,246,57252,7.211102550927978
郭,250,239,58338,11.0
覚,250,250,54678,0.0
較,231,251,58327,19.026297590440446
隔,248,239,65627,11.180339887498949
閣,249,241,66835,9.055385138137417
確,252,254,63379,4.47213595499958
獲,252,248,66833,2.8284271247461903
嚇,243,251,57698,7.0710678118654755
穫,250,247,67782,3.0
学,249,229,44625,21.02379604162864
岳,247,255,51174,5.830951894845301
楽,248,255,54140,5.385164807134504
額,247,249,66915,3.1622776601683795
顎,252,232,64087,18.110770276274835
掛,242,250,56152,8.0
潟,272,248,52403,22.090722034374522
括,253,253,54175,4.242640687119285
活,264,259,48404,16.64331697709324
喝,255,237,58910,13.92838827718412
渇,276,242,55639,27.202941017470888
割,250,250,59589,0.0
葛,257,249,60574,7.0710678118654755
滑,266,239,54500,19.4164878389476
褐,266,246,63551,16.492422502470642
轄,247,247,66536,4.242640687119285
且,251,263,46764,13.038404810405298
株,244,249,55715,6.082762530298219
釜,247,266,54660,16.278820596099706
鎌,256,257,70639,9.219544457292887
刈,277,243,41506,27.892651361962706
干,249,200,31036,50.00999900019995
刊,269,231,40921,26.870057685088806
甘,248,242,42782,8.246211251235321
汗,254,224,34005,26.30589287593181
缶,242,261,47945,13.601470508735444
完,248,246,48380,4.47213595499958
肝,232,228,50205,28.42534080710379
官,247,248,49362,3.605551275463989
冠,253,244,52526,6.708203932499369
巻,249,249,57620,1.4142135623730951
看,251,245,60833,5.0990195135927845
陥,245,259,59147,10.295630140987
乾,230,253,54898,20.223748416156685
勘,247,251,63659,3.1622776601683795
患,248,248,53933,2.8284271247461903
貫,251,236,58546,14.035668847618199
寒,250,245,56986,5.0
喚,244,250,63318,6.0
堪,260,247,60644,10.44030650891055
換,247,256,63608,6.708203932499369
敢,239,250,60347,11.0
棺,258,250,56141,8.0
款,244,248,56491,6.324555320336759
間,249,232,62224,18.027756377319946
閑,249,232,63179,18.027756377319946
勧,247,256,64298,6.708203932499369
寛,248,250,59427,2.0
幹,230,242,55210,21.540659228538015
感,252,253,57905,3.605551275463989
漢,266,252,59094,16.1245154965971
慣,265,238,64419,19.209372712298546
管,251,243,57218,7.0710678118654755
関,248,235,67538,15.132745950421556
歓,235,252,63467,15.132745950421556
監,232,261,61871,21.095023109728988
緩,252,254,66730,4.47213595499958
憾,258,247,61247,8.54400374531753
還,267,250,64821,17.0
館,252,257,63539,7.280109889280518
環,265,233,65601,22.67156809750927
簡,254,247,63836,5.0
観,246,248,70231,4.47213595499958
韓,249,248,65509,2.23606797749979
艦,245,255,69739,7.0710678118654755
鑑,249,259,67451,9.055385138137417
丸,243,262,38135,13.892443989449804
含,249,259,50046,9.055385138137417
岸,252,240,49319,10.198039027185569
岩,250,253,50183,3.0
玩,245,243,48124,8.602325267042627
眼,233,237,63549,21.400934559032695
頑,262,237,58084,17.69180601295413
顔,253,248,62872,3.605551275463989
願,247,238,68440,12.36931687685298
企,243,282,42059,32.7566787083184
伎,247,256,49119,6.708203932499369
危,241,259,48952,12.727922061357855
机,240,252,49903,10.198039027185569
気,249,250,52001,1.0
岐,241,249,53736,9.055385138137417
希,247,246,50848,5.0
忌,247,246,46590,5.0
汽,260,235,39127,18.027756377319946
奇,251,241,50569,9.055385138137417
祈,245,241,50234,10.295630140987
季,248,227,53384,23.08679276123039
紀,237,257,51715,14.7648230602334
軌,225,256,57996,25.709920264364882
既,249,237,62855,13.038404810405298
記,235,250,52265,15.0
起,242,261,55832,13.601470508735444
飢,233,254,57505,17.46424919657298
鬼,254,259,56273,9.848857801796104
帰,251,239,59696,11.045361017187261
基,252,258,58207,8.246211251235321
寄,249,242,54970,8.06225774829855
規,252,241,61640,9.219544457292887
亀,246,257,63498,8.06225774829855
喜,250,251,58819,1.0
幾,254,252,63580,4.47213595499958
揮,257,241,64570,11.40175425099138
期,262,240,62750,15.620499351813308
棋,252,247,60031,3.605551275463989
貴,251,251,57385,1.4142135623730951
棄,250,250,65689,0.0
毀,244,248,61315,6.324555320336759
旗,251,254,64513,4.123105625617661
器,249,249,61801,1.4142135623730951
畿,244,255,69420,7.810249675906654
輝,260,239,67543,14.866068747318506
機,255,251,68969,5.0990195135927845
騎,250,240,64188,10.0
技,247,253,51285,4.242640687119285
宜,252,262,50594,12.165525060596439
偽,259,251,55033,9.055385138137417
欺,240,243,59922,12.206555615733702
義,248,257,67164,7.280109889280518
疑,247,249,64388,3.1622776601683795
儀,252,256,68086,6.324555320336759
戯,251,257,62333,7.0710678118654755
擬,248,250,67126,2.0
犠,256,252,66736,6.324555320336759
議,251,259,70158,9.055385138137417
菊,258,245,57915,9.433981132056603
吉,248,261,44269,11.180339887498949
喫,250,241,60137,9.0
詰,245,263,57162,13.92838827718412
却,257,253,50682,7.615773105863909
客,245,250,56899,5.0
脚,252,245,64388,5.385164807134504
逆,258,258,51797,11.313708498984761
虐,257,258,57540,10.63014581273465
九,244,269,34997,19.924858845171276
久,236,261,32653,17.804493814764857
及,251,250,47581,1.0
弓,266,216,38719,37.57658845611187
丘,246,277,41572,27.294688127912362
旧,254,248,48074,4.47213595499958
休,243,253,47592,7.615773105863909
吸,244,242,55264,10.0
朽,249,231,45123,19.026297590440446
臼,251,256,42629,6.082762530298219
求,253,249,42491,3.1622776601683795
究,246,243,47849,8.06225774829855
泣,255,270,40886,20.615528128088304
急,246,259,51415,9.848857801796104
級,244,258,63085,10.0
糾,241,253,50142,9.486832980505138
宮,250,254,53370,4.0
救,250,251,56275,1.0
球,252,245,49707,5.385164807134504
給,240,261,58274,14.866068747318506
